Q,A,R,F,hash
begreifen, 理解する　 ,0,0,15212968134586580774
bemächtigen, 掌握する ,0,0,298642378631090710
ausklammern, 括弧を使って除外する　解決不能な問題を排除する ,0,0,17738416909877250278
sich abzeichnen, 動向などがはっきり見えてくる ,0,0,13473440311326409602
sich untersetllen, 屋根のあるところに避難する ,1,0,5292743729255865224
abverlangen, 要求する　強いる　課する ,0,0,18415545251429330371
anstehen, 並んで待つ　未処理のまま残っている　似合う ,0,0,13810878886484285485
anregen zu, に刺激を与える ,0,0,14585207524520478980
vorwegnehmen, 先取りする ,0,0,12645040747561737514
vortragen, 人前で話す ,0,0,2741274861525394970
ausbahen, 拡充する　拡大する ,0,0,4685329452374086459
aufschmeißen, ぶちまける ,0,0,14295571283815955053
zusammensezten, 組み立てる　組み合わせる ,1,0,12501151966188620084
bemerken, 言いそえる　気づく ,0,0,18424959205353588157
anerziehen, 教え込む　しつける ,0,0,10074866485258802133
anordnen, 命じる　指示する ,0,0,6348570574338764481
anschaffen, 購入する　調達する ,0,0,1087879592593627482
es ankommen auf an, 〜次第である　〜が重要問題である ,1,1,5059403259162492806
beklemmen, 締め付けて苦しくさせる ,0,0,15527696986426507404
vernachlässigen, 無視する ,1,0,14557874970794795685
unterlaufen, 避ける　潜り抜ける ,1,1,14741332165106795694
aufweisen, 示す ,0,0,10105585776896804739
auffallen, 目立つ ,0,0,13782909262986074503
hemmen, 動きを阻む　妨げる ,1,1,11906058971069198424
sich täuschen in, の思い違いをする ,1,0,5605485305738474614
abverlangen, 厚かましくも要求する ,0,0,7099246078630182216
leugnen, 否定する ,2,1,3957649741388013832
verdienen, 〜に値する ,0,0,10570642315222040208
gerate, に至る　になる　という状態になる ,1,0,6709988614157945674
schnarren, ギシギシと音を立てる ,1,1,12602339426921533891
stehlen, 盗む ,1,1,16049177258344343201
vorliegen, 提出されている　手元にある　存在する ,1,1,16070148400987204128
sich preisen, 自賛する ,1,1,14447524334480438633
vorgehen, 前進する　先に行く　起こる　行動する ,1,1,1630758641105457601
sich bedienen, 利用する ,1,1,7277585592079268869
angleichen, 一致させる　順応させる ,0,0,16458889795164163926
versehen, 役割を果たす ,1,0,7582524279357723408
bedürfen, 必要とする ,0,0,85301205453101614
entgegnen, 言い返す ,2,0,17126065280236466188
anreichern, 豊かにする ,0,0,13181459871904531958
halten für, とみなす ,1,0,1678376079379874876
zweifeln an, 疑念を抱く ,1,0,15544986947007212069
bearbeiten, 編集する ,0,0,2516095762207534156
abregen, 落ち着かせる ,0,0,10799223140733455728
betreffen, 関係する ,0,0,10271400282305119519
hinweisen, 指摘する　示唆する ,1,1,12765967355810468617
entbinden, 出産する　解除する ,3,0,8484411165706532522
verzeihen, 許す ,1,1,3951292055735977159
verkriechen, 隠れる ,1,1,7710307528939884238
feststellen, 確かめる　気づく　断言する　固定する ,1,0,15800239325530208399
ablösen, 剥がす　むく　交代する ,0,0,7030644155438712967
ermangeln, 欠けている ,0,0,13604192053836543769
stemmen, 重いものを頭上に持ち上げる ,1,1,4003531987944168637
sich versehen, 取り違える　誤って行う ,1,1,15830496343692821149
erstellen, 作成する ,1,0,17256947944917704013
aufspüren, 捜して見つけ出す ,0,0,5346723555693032290
ablegen, 置く　やめる　自白する ,0,0,372664439444204475
spotten über, をあざける ,1,0,12590705427561041688
nicht wahrhaben wollen, を認めようとしない ,1,1,13432661934556292377
sich ängstigen um, のことを気遣う ,1,1,9630894470394292936
sich äußern, 意見を述べる ,1,0,9777540210986499884
aufzeigen, はっきり示す　指摘する ,0,0,15896494660568188184
zurückstecken, 控えめにする ,1,1,1795820549279933274
vortäuschen, のふりをする ,0,0,4449651993470104264
wegdenken, 無視する　存在しないと考える ,1,1,17401067375401985463
lähmen, 麻痺させる ,1,1,17205285914410372235
scharren, 地面をガリガリかく ,1,1,3826652252097837809
zielen auf, 狙う ,1,0,1282281237392459828
beheben, 修正する　解決する ,0,0,4648484374824692801
verbinden, 接続する　 ,1,0,8944526074787259750
auftreten, 起こる　登場する　〜の立場をとる　発生する ,0,0,17662709488061952157
zustoßen, 激しく押して閉める　ナイフで突き刺す ,1,1,4435306686731008282
kiffen, マリファナを吸う ,1,1,421463006141872306
aufstellen, 設置する ,0,0,3768391603273557126
überholen, 分解修理する　追いつく ,0,0,2640574353025053059
übereinstimmen, 調和する　一致する ,0,0,11252483900698024659
ähneln, 似ている ,1,0,198921210185973195
angeben, 決める　告げる ,0,0,8847910734823496511
entgegenkommen, 譲歩する ,4,3,15361029036419831902
sich genieren, 恥ずかしがる ,0,0,7407811188254131597
weichen, 離れる　消え去る　なくなる ,1,1,7355046012998160279
verbergen, 隠す ,1,0,13613607708051446392
auskommen, なしですます ,0,0,1684241770024198665
sich sehnen, 憧れる ,1,0,6511406890887225223
vorbeischauen, ちょっと立ち寄る ,0,0,17406469138780782773
wagen, 勇気を出す　挑戦する ,1,1,9552768940816618881
ausdehnen, 延長する　広げる ,0,0,4781046250982766083
aufschieben, 延期する ,0,0,5662298262015245658
einweihen, 洗礼を受ける　内密にする ,0,0,221146898412615950
versehen mit, 与える　備え付ける ,1,0,10029688521720884680
beleben, 活気づける ,0,0,15776504876195563222
wähnen, 思い込む　錯覚する ,1,1,7163419412028535646
zustoßen auf, 不幸などが降りかかる ,1,1,9054401327154003899
lindern, 和らげる ,1,0,6414998893446058173
wenden, 方向を変える ,1,0,10730896528869442265
abblizten, 一蹴する ,0,0,11765992228191922203
gegenüberstellen, 対比する ,0,0,10336181649072284195
wagen, 思い切ってやる ,1,1,10886985748663650434
schrumpfen, 減少する　縮む　しなびる ,1,1,6940409644494683047
ablegen, 申開きをする　試験を受ける ,0,0,3645076778884037628
umstellen, 切り替える ,1,0,12926628197650649476
potenzieren, 高める　強める ,1,0,15443753295728247040
abstürzen, クラッシュする　墜落する ,0,0,8654889875710212060
nachschlagen, 本で調べる ,1,0,9947535863775908781
kubeln, クランクを回す　加速する ,1,0,6543235974735480713
begütigen, なだめる　あやす ,0,0,8621990770595022364
mitwirken, 参加する　作用する ,1,1,5074365061999811979
aufsuchen, 会いに行く ,0,0,18164216295868307826
verlaufen, 経過をたどる ,2,1,7625424713437100781
zubereiten, 調理する ,1,0,6411136332050497334
sich versetzten in, の身になってみる ,1,0,16693154803536632637
auflegen, 電話を切る ,0,0,8093035036101115348
sich betragen, ふるまう ,1,1,620471417781428338
hinnehmen, 受け入れる ,1,1,4475669685108560852
fortschreiten, 進歩する ,0,0,6388173514769943289
sich vornehmen, 取り組む　計画する　企てる ,1,1,15910827663997626838
handeln von, 事柄を扱う ,1,0,13314331475388029742
geizen, 惜しむ　節約する ,1,1,10422994359560016786
verweilen, ある場所にしばらくとどまる ,0,0,3048400215117711515
beschwören, 懇願する　誓約する ,0,0,7218090965523923964
abwickeln, 手順よく事柄を処理する ,0,0,9304585435398674562
flattern, 羽をバタバタさせてとぶ　不安や興奮でヒクヒクする ,1,1,9892175633592790433
aufbrechen, 出発する　無理に開ける　 ,0,0,9059795676534943355
beibehalten, 習慣などを持ち続ける ,0,0,17728383588920330289
abschneiden, の成績を収める ,0,0,13906677986564701317
vermitteln, 伝える　知らせる ,1,0,5232537587959102527
sich machen, 方向に向かう　見える思える ,1,1,14702550974087091944
erbitten, 要請する　頼む ,1,1,18222868601325505703
sich verstehen, 理解される　価格に含まれない ,1,1,15297791971191443029
adresieren an, への宛先を当てる ,0,0,10921575024569034028
errichten, 一から作り上げる ,0,0,16104657451864009051
anlangen, 到着する ,0,0,334467111552651090
schwärmen von, 夢中になって話す ,1,0,8477006980322101218
ausschimpfen, ガミガミいう　ののしる ,0,0,17540376225255280734
einwenden, 異議を唱える ,0,0,1821280121120893295
abwägen, じっくり比較する ,0,0,7912927625211396943
nachgeben, 屈する　譲歩する ,0,0,4013802153924028962
rümpfen, 鼻をしかめる ,0,0,17051446131884382198
verfahren, というやりかで行う　振るまう ,1,0,12234277902041187303
anführen, 先導する　実例を挙げる ,0,0,3237882068367476504
sich berufen auf, 〜を根拠にする ,0,0,10712855447867418000
versogen, 供給する　世話をする ,1,1,191612333326650161
ausrichten, 成果を上げる　開催する ,0,0,10916711809519334203
berauben, 強奪する ,0,0,2651526476533214010
unterrichten, 教える ,1,0,16514601234448172473
vermitteln, 伝える　知らせる　仲介する ,1,0,7932605129711077584
ernähren, 養う ,2,1,5898649344295041819
abbezahlen, 完済する ,0,0,8401221078613876020
beschuldigen, 非難する　とがめる ,0,0,1110636546988666783
angehen, 取り組む　関係する ,0,0,59989974046200760
anklagen, 告発する ,0,0,13724718018160315569
verstoßen gegen, に違反する ,1,0,11498571975188336141
vermarkten, 市場に出す　売る ,0,0,10336503284990448872
überantworten, 委ねる　任せる ,1,1,2929597772351151553
überreichen, 渡す　提供する ,1,1,15777674207334259729
fordern von, を要求する ,1,0,497018651266698574
plündern, 略奪する ,2,1,10521914027042167919
geraten in, と言う状態に至る　陥る ,1,0,7567366665550745400
anlasten, 責任を負わせる ,0,0,8623181153090079200
stattgeben, 要求や要請に応じる ,0,0,14677438770480010848
verbieten, 禁止する ,1,0,4068202108398815286
einplanen, 計画に入れる ,5,0,16277335280028749276
aussenden, 放射する　派遣する ,0,0,1556499221102140046
tingeln, ショウをしながら旅回りをする ,1,1,17640207490731115453
sich vornehmen, 決心する ,0,0,13941720282094476257
bestehen auf, こだわる　固執する ,0,0,3714206147385282466
einleuchten, 明らかにする ,8,3,5721554391157045612
entgegenwirken, 〜の進行を抑える　妨げる ,2,1,4410333163128335749
abraten, 忠告する　やめるように勧める ,0,0,1352136864582752035
erwischen, 捕まえる ,1,0,6433205438234816799
hervorgehen, ,2,2,16020000869874551475
erschweren, 困難にする ,0,0,11020416631409667914
zusetzen, 追加する　費やす　注ぎ込む ,1,1,83846220507323665
vorlegen, 提出する　 ,1,0,12088360492508311223
verpfuschen, 台無しにする　失敗させる ,0,0,11721232102420302542
ablösen, 入れ替わる ,0,0,16204839385907084776
sich verlassen auf, を信頼する ,1,0,3099371003036417491
dementieren, 否認する ,2,2,15919291597447961407
grübeln, 考え込む　悩む ,0,0,10917983710203415917
zuwenden, 〜の方へ向ける　寄付する ,1,0,3412676949266171522
durchdringen, 貫通する　透過する ,0,0,344541352231544248
sich erschleichen, 不正な手段を使って手に入れる ,0,0,15740296579249815670
hinken, 足を引きずる ,0,0,15032042937902313780
abschaffen, 廃止する　撤廃する ,0,0,15880993529234161852
ausweichen, 質問をかわす　回避する ,0,0,6608688714620565910
bestehen in, という状態にある ,0,0,1693669878050050812
eintreten für, を支持する ,4,2,9377259173255569857
umgehen, 扱う　避けて通る　計画などを胸に抱く ,1,0,17080120666261732025
treten, の方へ歩く　踏む　踏みつける　ける ,1,0,2732213597422587219
warten mit, ~をしないでおく ,2,1,3415147538629141018
zählen zu, の一つに数えられる ,1,0,8003306377957045207
hervorheben, 強調する ,2,2,10179654048699423135
anfressen, 消耗させる　むしばむ　食い尽くす ,0,0,14843467808433574613
verkümmern, 衰える ,1,1,2143392645391147565
sich ausdehnen, 広がる ,1,1,7830867179518617984
ausklingen, 終わる ,0,0,11760167153669967
verzehren, 摂取する ,1,0,6235027416109139444
einschränken, 制限する ,4,0,8877497721841565926
beharren auf, 固執する　主張して譲らない ,0,0,12062431969694324997
beschatten, 尾行する ,0,0,1076580887005956396
erteilen, 与える　許可する ,1,0,3200974243660549938
vergeben, 許す ,1,1,4349587521156184997
bekräftigen, 強調する　確認する ,0,0,5279324652677542362
gewährleisten, 保証する ,0,0,12555834753297731633
beeinträchtigen, 損なう　妨げる ,0,0,17264362707085622109
betragen, 価格が〜になる ,0,0,17493906452321844290
hinterherlaufen, 急いで走って追いかける　しつこく追い回す ,1,1,14950569852192828944
sich ängstigen vor, を恐れる ,1,0,1288475592838328422
sich anbahnen, 兆しが見える　起こりそうだ ,0,0,14061833631132548301
zurückkehren, 帰る　戻る ,1,0,2176024495642176123
aufblähen, 膨らませる　無駄に冗長にする ,0,0,9570175650625906337
ausweisen, 計算で証明する　追放する ,0,0,1360107486486881556
küren, 選出する ,1,1,3791778985524148402
umranken, 巻きつく ,1,1,1296844024351028046
entstehen, 生じる　支払い義務が生じる ,1,1,11369374539062790128
sich erbarmen, 哀れむ ,1,1,10436221273653834993
sich raufen, 取っ組み合いをする　つかむ ,1,1,766089783256163877
befolgen, 規則や忠告に従う ,0,0,10278175379552947826
abbringen von, 思いとどまらせる　取り除く ,0,0,15892950321278383723
wegstecken, 耐え忍ぶ ,0,0,10830450261823086860
sich schämen, 恥じる ,1,0,8585329556187142587
vorsehen, 特定の目的のために用意する ,0,0,2345777388240516328
sich verständigten, 合意する ,1,1,2470188229663853655
gestalten, 形作る ,1,0,313270683687128876
auftischen, 食卓に出す ,0,0,12348181839711741317
herumkommen, あちこち旅して回る ,0,0,4924005088171998069
hervorrufen, アンコールで呼び出す　引き起こす ,0,0,3404469519516000989
einschieben, 割り込ませる　押し込む ,14,10,9300394752553971995
erwähnen, 言及する ,1,0,9794700196677802899
bewahren, 守る　保持する ,0,0,5333248941388698531
befugen, 権限を与える ,0,0,10949756932988232427
ergehen, の境遇にある ,1,1,669397751838259085
eingehen, リスクをとる ,4,1,12265911352806362248
beschönigen, 都合よく取り繕う　美化する ,0,0,12796927146471776850
herausrücken, 物や情報を外に出す ,0,0,14427458328163826596
fixieren, 決定する　固定する ,1,0,1085240283924669106
nachgehen, 後を追う　専念する　調べる ,1,1,3020772771125144076
abbestellen, キャンセルする　取り消す ,0,0,17110283739188435705
erlassen, 法や政令を公布する ,0,0,12113370917754892521
eingehen, 理解する ,0,0,12664140051875388633
vorziehen, 好む　選ぶ ,0,0,11581886893784405561
wagen, 危険や困難を冒す　あえてやる ,1,1,3854696614342754329
gönnen, めぐむ ,0,0,15860277262404573171
nachgrübeln, くよくよ考える ,0,0,8382925515555464352
aussetzen, 中断する　危険に晒す ,0,0,3751543169145528461
abweisen, 拒絶する　はねつける ,0,0,1776800511919423954
verreisen, 旅行に出かける ,1,0,4074370936420919636
poltern, がたがた音を立てる ,0,0,6530375613477874532
unterwerchen, 従わせる　征服する ,0,0,4613658748106874710
erlassen, 免除する　発布する ,1,1,1167784920126532340
verwerfen, はねつける　拒否する ,1,1,10170402547441502652
wiedergeben, 再生する　表現する　複写する ,2,1,2985191655669471954
beklagen, 損害が出る　死者が出る ,0,0,1371778660228168027
rücken, 動く　進む ,0,0,9014975045820347153
zugutekommen, 役にたつ ,0,0,9760959046798876031
verweisen, どこそこに行くように指示する　命じる ,1,1,7579787334342431862
bemitleiden, 同情する　哀れに思う ,0,0,15163607084114490334
zusetzen, しつこくせがむ　弱らせる　苦しめる ,1,1,15905165656727824973
vorsehen, 計画する ,1,0,8776229764136190646
einhergehen, 通り過ぎる　避ける　同時におこる ,9,6,15507249205490596739
ermutigen, 励ます ,0,0,12139828304826799465
zurückschrecken, おじけづく　飛び退く ,1,1,2635641612410418028
einhergehen, 通り過ぎる　歩き回る　病気が熱などをともなう ,9,7,1015072520154258289
vollführen, スタントなどを行う ,0,0,4912727790525175541
verüben, 犯罪などを実行する ,0,0,4191821383861989191
durchdringen, 侵入する ,0,0,16999493760724320753
vertuschen, もみ消す　隠蔽する ,0,0,17277360610014824298
ausgeben, 詐称する ,0,0,4500053261502914596
bereuen, 後悔する ,0,0,11331859202696323839
zögern mit, 〜をためらう ,1,0,18167624935876612043
unterziehen, 下に着る　診察などを受ける ,1,1,16371662612525171795
fordern, 要求する ,1,0,4666608106496919191
berücksichtigen, 考慮する ,0,0,11148005442158707873
versagen, 機能しなくなる ,1,0,2866240832042963042
überspielen, ダビングする ,0,0,17469081893909970746
verüben, 悪事などをやらかす ,1,1,10089852368885993768
schürfen, 採掘される ,1,1,6626909270267085169
handeln mit, ものを扱う ,1,0,17137204235994228991
appelieren, 訴えかける ,0,0,12535889213877291141
beauftragen, 任命する　依頼する ,0,0,5727613978252376197
verwickeln, 巻き込む ,1,1,17324928495303124383
zucken, 引きつる ,0,0,8244201085948327383
schlurfen, 足を引きずって歩く ,1,1,13136416394831682354
sickern, しみ出す　ポタポタ落ちる ,1,1,17375956415789353215
mampfen, もぐもぐ食べる ,1,0,1291256003621248778
mithalten, 競り合う ,1,1,9072751526941710175
büffeln, 詰め込み勉強をする ,0,0,16618906339851180828
abhalten, 開催する　引き止める　邪魔する ,0,0,11189323283244070909
versagen, 失敗する ,1,0,6383114706573451336
wirken auf, 影響を与える ,1,0,1575173976174886985
ergrimmen, 激怒する ,1,1,17934951827162723023
beabsichtigen, 意図する ,0,0,11485665703701153036
verfehlen, 達成できない ,0,0,16560000937382786698
hereinbrechen, 押し寄せる　襲来する ,1,1,447659323723036639
faulenzen, のんびり過ごす ,1,1,16129186281065827895
ausspüren, 才能を見つけ出す　かぎつける ,0,0,17511204196977633099
vorliegen, 存在する　提出される ,0,0,16530346664319499751
behüten, 守る　保護する ,0,0,613951275273289009
beeinträchtigen, 妨げる　損なう ,0,0,17671486979517001074
sich anneigen, 習得する ,0,0,6654167689282635663
preisgeben, 秘密を漏らす ,1,1,4906075088694835446
erwerben, 獲得する ,1,1,10275007211279411274
anklagen, 法律的に告訴する ,0,0,7839404035635822089
unterstellen, 〜を疑いなく思う　仮定する ,2,1,13497455965696515043
zukommen lassen, 与える ,1,0,8984016643452331024
quengeln, 愚痴をこぼす ,1,1,297963574675094265
gelangen zu, の状態になる ,1,0,4953216276298957426
sich sorgen um, について心配する ,1,0,16610309985273365356
verschaffen, 手に入れる ,1,1,935065537301370025
erhalten, 保つ ,0,0,18016348841624589159
einhalten, 守る ,8,7,749242183570399609
verschallen, 行方不明になる　音が消える ,0,0,10604971311310520098
sich verfahren, 車で道に迷う ,1,0,1784667023704184810
aufstocken, 増やす　追加する ,0,0,4153776561127599509
streiten über, 〜について議論する ,1,0,15187379833309013060
sich verwickeln, もつれる　こんがらがる ,1,1,6975021129068446218
heranführen, 導く ,0,0,12940935003916522018
dazugehören, それに所属している ,0,0,3749058791615949843
einlenken, 譲歩する ,0,0,16503368241424382237
schließen von auf, 〜から〜を推論する ,1,1,10441812920407708022
sich nähern, 近づく ,1,0,17466831886607357676
zusamenhalten, 団結する　まとめる ,1,0,10216302206574550507
sich rühmen, 自慢する ,1,1,13046036717798728346
eintreffen, 到着する　予想などが的中する ,6,4,5026750213544423551
vornehmen, 尋問する　聞いて知る　実施する ,1,1,1729354749942953521
sich annehmen, 引き受ける ,1,1,9156523272537945460
einwenden, 異議を唱える　反対する ,5,3,6338629880204851923
vorschreiben, 手本として書いてみせる　規定する ,1,1,3596316899009971309
verlangen, 必要とする ,1,0,12900062380045539564
empfehlen, 勧める ,0,0,17995597652546207572
verunreinigen, 大気・水などを汚染する ,1,0,3216471613339689381
beiliegen, 添付同封してある ,0,0,11177281153296179757
zurückdrängen, 押し戻す　撃退する ,1,1,7149925447176678885
zulegen, 増加する ,1,0,6097500986084207348
berechnen, 請求する　見積もる ,0,0,4889026545814918298
hinweisen auf, 指し示す ,1,1,7790025292606073067
überlassen, 任せる　委ねる ,1,1,9206857938654417370
nachgeben, 下落する ,1,1,11345693668465276868
obliegen, 〜の責任がある ,0,0,14051448715765336197
grauen, 怖がる ,1,1,15502205897703158511
heranführen, 近くに持ってくる ,1,1,3879561952559382991
sich annehmen, 〜のことを気にかける　面倒を見る ,1,1,17462346745671257319
anwenden, 応用する　適用する ,0,0,13272395085648683235
zurückweichen, 後退りする ,0,0,5986787775726315847
aufbringen, 調達する　激昂させる　流布させる　ぬる ,0,0,6188377064848545076
erlangen, 獲得する ,1,1,16565163767272142703
anfeuern, 激励鼓舞する ,0,0,4381584047313684118
enthalten, 否定でも肯定でもある　含む ,4,3,3997732877713156351
ausmachen, 意味を持つ　自分たちで解決する　形成する　消す ,0,0,4770389699046739228
anweisen, 仕事を割り当てる ,0,0,17523644055032592687
walzen, 本を使って調べる ,2,1,5545558020800392777
verbreiten, 広める ,1,0,18151224131175516964
wetteifern, 競争する　競り合う ,1,1,13849875179279280485
umstellen, 配置換えをする ,1,0,14836072834210069857
grunzen, 不平を言う ,0,0,8703391402946559846
verhalten, 振る舞う　 ,1,0,7156652137177756100
relegieren, 追放する　降格する ,1,1,6324044401041522608
abhalten, 妨げる　開催する ,0,0,7623047372692441640
lauschen, 聞き入る ,1,0,12233180911414731524
ausgehen von, に由来する ,0,0,12465895965075140568
verdrängen, 追い出す　抑圧する ,1,1,11486570232140290857
schmoren, 蒸し煮にする ,1,0,11551030897648684557
anhalten, 止める　続く ,0,0,13897191603195444769
sich aussprechen für, 賛成と発言する ,0,0,11046437466018143024
aufbegehen, 逆らう　抗議する　反抗する ,0,0,9655775132389760214
sorgen für, の世話をする ,1,0,10139152102959446386
anrichten, 悪いことを引き起こす ,0,0,718193722384836611
lösen, 解決する　取り除く ,0,0,14978773754753832377
vornehmen, する　行う ,1,1,7256344336200018257
entgegenstellen, 対立する ,0,0,15737451001039812171
sich vornehmen, 計画する　企てる ,1,1,5513435523440786396
begreifen, 理解する ,0,0,14827202977236562596
einlösen, 小切手を現金化する　買い戻す ,0,0,2469588076607973782
vorkommen, 起こる　思われる ,1,0,1310075819055766153
neiden, 妬む ,0,0,9958066260436463854
sich überwinden, 気持ちを克服する ,1,1,2628028795272231269
umgehen, 噂や病気が広まる　折り返し返信を送る ,1,0,8356587298783835520
erwirtschaften, 稼ぐ　獲得する ,1,0,18144037622818486281
stemmen, 重いものを持ち上げる ,0,0,6990718310519381707
sich räuspern, こほんと咳をする ,1,1,6921100245436666183
unterstellen, 決めつける ,3,1,15320271883215422452
erlangen, 手にいれる ,0,0,16430202504218827726
erscheinen, 現われる　出現する ,2,1,13179945063315148677
düsten, サッと去る ,0,0,10804089093455987251
widersprechen, 矛盾する　反論する ,1,0,16252644076320406286
klarstellen, 明確にする ,1,0,16379819205382423967
vorkommen, 起こる ,1,0,35193568441644146
bestaunen, 驚嘆する ,0,0,12817083295504608043
ausersehen, 選び出す ,0,0,8072119543370592384
einführen, 導入する ,4,1,208621169604192704
preisen, 褒める ,1,0,8990612770103459865
sich zusammenreißen, 懸命に堪える ,1,1,6111094879847901314
wenden, 向きを変える ,1,0,4617003566478426033
sich decken, 重なる ,2,1,13061414617971806201
ertönen, 鳴り響く ,1,1,7549169930264980275
vertrösten, 待たせる　期待を持たせる ,1,1,1851747597656309958
durchdringen mit, 押し通す ,0,0,10775455816824806634
setzen auf, 〜を重視する ,0,0,2001569349117962640
sich einfinden, 人々が集まる ,1,1,983575856416154623
fremdgehen, 浮気する ,1,1,2273758765859876339
beanspruchen, 要求する　主張する ,0,0,14345637889353542028
halten von, 重視する　無視する ,1,0,13255276643108064128
betreten, 入る　立ち入る ,0,0,9240704227718941470
angehen, に関わる　取り組む　対処する ,0,0,5422966256695781724
vertilgen, 平げる ,0,0,2502706574663328498
wappnen gegen, 〜に備える ,0,0,14254887504400728644
vorbehalten, 留保する　予約する　専用とする ,1,1,11374965975955908204
missfallen, 気に入らない ,1,0,7376359542891865671
anstarren, じっと見る ,0,0,13784665266556388703
stillen, 渇きを癒す　落ち着かせる ,1,0,9774845191237499427
erläutern, 解説する ,1,0,10989645335732248483
verursachen, 引き起こす ,1,0,9889086174223238279
befassen, 取り組む　関与する ,0,0,4019744167971904012
vorherrschen, 支配的である　優勢である ,1,1,8078242347017843996
befördern zu, 昇進させる　運搬する ,0,0,13235259777764599956
anführen, 引用する　率いる ,0,0,5195237018475228229
entflammen, 火がつく　燃え上がる ,0,0,7797277266044678278
aufnehmen, 受け入れる　記録する　始める ,0,0,3890566646270886814
zusamenhalten, 団結する ,1,0,7552795868959123453
anrühren, 触れる　混ぜる ,0,0,13573632505593849071
bereichern, 豊かにする ,0,0,13223564293947018364
züchten, 栽培する　飼育する ,1,0,5214117691354943025
ausmachen, 問題になる　ご迷惑でしょうか ,0,0,17858567734186290594
absehen, 見通す　予測する　見て覚える ,0,0,3018593963915383213
herunterkommen, 衰弱する　落ぶれる ,1,1,10145905944393037288
nachsagen, いい伝える ,0,0,1415691582093630851
verderben, 台無しにする ,2,0,7381244350542752136
aufnehmen, 迎え入れる ,0,0,6067591145516756939
umstelle auf, 合わせる ,1,0,9873460232765061102
abwägen, 比較する　熟慮する ,0,0,2520813739308585322
verlängern, 延長する ,1,1,13710527023759960441
wippen, シーソーで遊ぶ　上下させる ,1,1,4257582170757203196
anhalten, 止まる　持続する ,0,0,11246086825091584158
hindeuten, 示唆する　暗示する ,1,1,12646220469951208460
büßen, 罰を受ける ,0,0,8352476694048366161
vergöttern, 崇拝する ,1,0,5964078153003097956
einsehen, 認識する ,8,7,5106530498725253420
einholen, 追いつく　取り返す　意見や許可を求める ,4,0,2370149779968711594
sich berufen, 引用する ,1,1,7219705457079002671
abraten von, 思いとどまるように説得する ,0,0,12732668009998739890
stöhnen, うめく　ため息をつく ,0,0,10086264244747309418
verstoßen, 追い出す ,1,0,407298020069675134
schwächen, 弱める ,1,0,14910172943784290169
verfahren, 言いうやり方をする　ふるまう ,1,0,12210721107127863553
ausstatten, 装備する　備える ,0,0,18170023281703494033
reisen, 褒める ,0,0,2397326042281361680
fassen, 理解する　解釈する　把握する　つかむ ,1,0,4623272348506417508
erläutern, 説明する ,1,0,8058384587528303681
